,Code,name,latitude,longitude,density
351,6407,Charlevoix / Lionel-Groulx,45.48392802,-73.57731164,17
352,6408,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,27
353,6409,Lionel-Groulx / George-Vanier,45.48621939184824,-73.5737469792366,23
354,6410,Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074,10
355,6411,Clark / Prince-Arthur,45.5133025720765,-73.57296109199524,47
356,6412,Complexe sportif Claude-Robillard,45.553262,-73.638615,5
357,6413,Union / Cathcart,45.50355184389659,-73.56875538825989,48
358,6414,Parc St-Henri (Laporte / Guay),45.48013378575666,-73.58590811491013,12
359,6415,de Melrose / Sherbrooke,45.46981978744856,-73.61696138978003,7
360,6416,Notre-Dame-de-Grâce / Décarie,45.47735333523628,-73.61537218093872,6
361,6417,de la Salle / Hochelaga,45.55415230370231,-73.54749351739883,11
362,6418,Paré / Mountain Sights,45.49810026070624,-73.65294188261032,4
363,6419,Beaucourt / de la Côte-Ste-Catherine,45.491513,-73.633649,5
364,6420,Métro Snowdon (de Westbury / Queen-Mary),45.48538473242346,-73.62814217805862,2
365,6421,Cartier / Rosemont,45.54124722370603,-73.59104454517365,21
366,6422,Fleury / Lajeunesse,45.55357892880519,-73.66208285093306,3
367,6423,Hôpital général juif (de la Côte Ste-Catherine / Légaré),45.496302,-73.629822,6
368,6424,Square Chaboillez (St-Jacques / de la Cathédrale),45.49656303562923,-73.56491714715958,42
369,6425,Métro de l'Église (Ross / de l'Église),45.462846046287325,-73.56592163443565,5
370,6426,Métro Verdun (Willibrord / de Verdun),45.459487694540734,-73.57209205627441,7
371,6427,Métro Lasalle (de Rushbrooke / Caisse),45.47069642604657,-73.56542240828276,5
372,6428,Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819,1
373,6429,Place du Commerce,45.46714,-73.54259,2
